% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.364	1	1	37	5	2	28	2292	0
0.365	1	4	37	6	4	28	2292	0
0.367	1	2	37	8	1	28	1095	0
0.367	1	1	37	8	2	28	1095	0
0.368	1	2	37	9	1	28	749	0
0.368	1	1	37	9	2	28	749	0
0.368	1	3	37	9	3	28	749	0
0.369	1	1	37	10	2	28	1095	0
0.369	1	3	37	10	3	28	1095	0
0.37	1	1	38	1	2	28	749	0
0.37	1	3	38	1	3	28	749	0
0.371	1	1	38	2	2	28	749	0
0.371	1	4	38	2	4	28	749	0
0.372	1	1	38	3	2	28	749	0
0.372	1	4	38	3	4	28	749	0
0.373	1	1	38	4	2	28	1095	0
0.374	1	2	38	5	1	28	1095	0
0.374	1	1	38	5	2	28	1095	0
0.375	1	4	38	6	4	28	1095	0
0.376	1	4	38	7	4	28	1095	0
0.377	1	1	38	8	2	28	1095	0
0.378	1	1	38	9	2	28	749	0
0.378	1	3	38	9	3	28	749	0
0.379	1	1	38	10	2	28	749	0
0.379	1	3	38	10	3	28	749	0
0.38	1	3	39	1	3	28	1095	0
0.381	1	2	39	2	1	28	1095	0
0.381	1	4	39	2	4	28	1095	0
0.382	1	2	39	3	1	28	1095	0
0.382	1	4	39	3	4	28	1095	0
0.385	1	4	39	6	4	28	2292	0
0.387	1	2	39	8	1	28	1095	0
0.388	1	2	39	9	1	28	749	0
0.388	1	3	39	9	3	28	749	0
0.389	1	2	39	10	1	28	749	0
0.389	1	3	39	10	3	28	749	0
0.39	1	2	40	1	1	28	749	0
0.39	1	3	40	1	3	28	749	0
0.391	1	2	40	2	1	28	749	0
0.392	1	4	40	3	4	28	1095	0
0.393	1	4	40	4	4	28	1095	0
0.395	1	4	40	6	4	28	1095	0
0.396	1	4	40	7	4	28	1095	0
0.397	1	2	40	8	1	28	1095	0
0.398	1	2	40	9	1	28	749	0
0.398	1	3	40	9	3	28	749	0
0.399	1	3	40	10	3	28	1095	0
0.4	1	2	41	1	1	28	749	0
0.4	1	3	41	1	3	28	749	0
0.401	1	2	41	2	1	28	749	0
0.401	1	4	41	2	4	28	749	0
0.402	1	1	41	3	2	28	1095	0
0.402	1	4	41	3	4	28	1095	0
0.403	1	1	41	4	2	28	2292	0
