% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0842143	1	4	4	3.36092e-11	70854.5	0
0.0852143	1	1	2	6.76779e-11	142678	0
0.0852143	1	2	1	3.36092e-11	70854.5	0
0.0852143	1	3	3	3.36092e-11	70854.5	0
0.0852143	1	4	4	3.36092e-11	70854.5	0
0.0862143	1	1	2	6.76833e-11	142689	0
0.0862143	1	2	1	3.36092e-11	70854.5	0
0.0862143	1	3	3	3.36092e-11	70854.5	0
0.0862143	1	4	4	3.36092e-11	70854.5	0
0.0872143	1	1	2	6.76888e-11	142700	0
0.0872143	1	2	1	3.36092e-11	70854.5	0
0.0872143	1	3	3	3.36092e-11	70854.5	0
0.0872143	1	4	4	3.36092e-11	70854.5	0
0.0882143	1	1	2	6.76942e-11	142712	0
0.0882143	1	2	1	3.36092e-11	70854.5	0
0.0882143	1	3	3	3.36092e-11	70854.5	0
0.0882143	1	4	4	3.36092e-11	70854.5	0
0.0892143	1	1	2	6.76996e-11	142723	0
0.0892143	1	2	1	3.36092e-11	70854.5	0
0.0892143	1	3	3	3.36092e-11	70854.5	0
0.0892143	1	4	4	3.36092e-11	70854.5	0
0.0902143	1	1	2	6.77051e-11	142735	0
0.0902143	1	2	1	3.36092e-11	70854.5	0
0.0902143	1	3	3	3.36092e-11	70854.5	0
0.0902143	1	4	4	3.36092e-11	70854.5	0
0.0912143	1	1	2	6.77105e-11	142746	0
0.0912143	1	2	1	3.36092e-11	70854.5	0
0.0912143	1	3	3	3.36092e-11	70854.5	0
0.0912143	1	4	4	3.36092e-11	70854.5	0
0.0922143	1	1	2	6.7716e-11	142758	0
0.0922143	1	2	1	3.36092e-11	70854.5	0
0.0922143	1	3	3	3.36092e-11	70854.5	0
0.0922143	1	4	4	3.36092e-11	70854.5	0
0.0932143	1	1	2	6.77214e-11	142769	0
0.0932143	1	2	1	3.36092e-11	70854.5	0
0.0932143	1	3	3	3.36092e-11	70854.5	0
0.0932143	1	4	4	3.36092e-11	70854.5	0
0.0942143	1	1	2	6.77268e-11	142781	0
0.0942143	1	2	1	3.36092e-11	70854.5	0
0.0942143	1	3	3	3.36092e-11	70854.5	0
0.0942143	1	4	4	3.36092e-11	70854.5	0
0.0952143	1	1	2	6.77323e-11	142792	0
0.0952143	1	2	1	3.36092e-11	70854.5	0
0.0952143	1	3	3	3.36092e-11	70854.5	0
0.0952143	1	4	4	3.36092e-11	70854.5	0
0.0962143	1	1	2	6.77377e-11	142804	0
0.0962143	1	2	1	3.36092e-11	70854.5	0
0.0962143	1	3	3	3.36092e-11	70854.5	0
0.0962143	1	4	4	3.36092e-11	70854.5	0
0.0972143	1	1	2	6.77431e-11	142815	0
0.0972143	1	2	1	3.36092e-11	70854.5	0
0.0972143	1	3	3	3.36092e-11	70854.5	0
0.0972143	1	4	4	3.36092e-11	70854.5	0
0.0982143	1	1	2	6.77486e-11	142827	0
0.0982143	1	2	1	3.36092e-11	70854.5	0
0.0982143	1	3	3	3.36092e-11	70854.5	0
0.0982143	1	4	4	3.36092e-11	70854.5	0
0.0992143	1	1	2	6.7754e-11	142838	0
0.0992143	1	2	1	3.36092e-11	70854.5	0
0.0992143	1	3	3	3.36092e-11	70854.5	0
0.0992143	1	4	4	3.36092e-11	70854.5	0
0.100214	1	1	2	6.77595e-11	142850	0
0.100214	1	2	1	3.36092e-11	70854.5	0
0.100214	1	3	3	3.36092e-11	70854.5	0
0.100214	1	4	4	3.36092e-11	70854.5	0
0.101214	1	1	2	6.77649e-11	142861	0
0.101214	1	2	1	3.36092e-11	70854.5	0
0.101214	1	3	3	3.36092e-11	70854.5	0
0.101214	1	4	4	3.36092e-11	70854.5	0
0.102214	1	1	2	6.77704e-11	142872	0
0.102214	1	2	1	3.36092e-11	70854.5	0
0.102214	1	3	3	3.36092e-11	70854.5	0
0.102214	1	4	4	3.36092e-11	70854.5	0
0.103214	1	1	2	6.77758e-11	142884	0
0.103214	1	2	1	3.36092e-11	70854.5	0
0.103214	1	3	3	3.36092e-11	70854.5	0
0.103214	1	4	4	3.36092e-11	70854.5	0
0.104214	1	1	2	6.77812e-11	142895	0
0.104214	1	2	1	3.36092e-11	70854.5	0
0.104214	1	3	3	3.36092e-11	70854.5	0
0.104214	1	4	4	3.36092e-11	70854.5	0
0.105214	1	1	2	6.77867e-11	142907	0
0.105214	1	2	1	3.36092e-11	70854.5	0
0.105214	1	3	3	3.36092e-11	70854.5	0
0.105214	1	4	4	3.36092e-11	70854.5	0
0.106214	1	1	2	6.77921e-11	142918	0
0.106214	1	2	1	3.36092e-11	70854.5	0
0.106214	1	3	3	3.36092e-11	70854.5	0
0.106214	1	4	4	3.36092e-11	70854.5	0
0.107214	1	1	2	6.77976e-11	142930	0
0.107214	1	2	1	3.36092e-11	70854.5	0
0.107214	1	3	3	3.36092e-11	70854.5	0
0.107214	1	4	4	3.36092e-11	70854.5	0
0.108214	1	1	2	6.7803e-11	142941	0
0.108214	1	2	1	3.36092e-11	70854.5	0
0.108214	1	3	3	3.36092e-11	70854.5	0
0.108214	1	4	4	3.36092e-11	70854.5	0
0.109214	1	1	2	6.78085e-11	142953	0
0.109214	1	2	1	3.36092e-11	70854.5	0
0.109214	1	3	3	3.36092e-11	70854.5	0
0.109214	1	4	4	3.36092e-11	70854.5	0
0.110214	1	1	2	6.78139e-11	142964	0
0.110214	1	2	1	3.36092e-11	70854.5	0
0.110214	1	3	3	3.36092e-11	70854.5	0
0.110214	1	4	4	3.36092e-11	70854.5	0
0.111214	1	1	2	6.78194e-11	142976	0
0.111214	1	2	1	3.36092e-11	70854.5	0
0.111214	1	3	3	3.36092e-11	70854.5	0
0.111214	1	4	4	3.36092e-11	70854.5	0
0.112214	1	1	2	6.78248e-11	142987	0
0.112214	1	2	1	3.36092e-11	70854.5	0
0.112214	1	3	3	3.36092e-11	70854.5	0
0.112214	1	4	4	3.36092e-11	70854.5	0
0.113214	1	1	2	6.78303e-11	142999	0
0.113214	1	2	1	3.36092e-11	70854.5	0
0.113214	1	3	3	3.36092e-11	70854.5	0
0.113214	1	4	4	3.36092e-11	70854.5	0
0.114214	1	1	2	6.78357e-11	143010	0
0.114214	1	2	1	3.36092e-11	70854.5	0
0.114214	1	3	3	3.36092e-11	70854.5	0
0.114214	1	4	4	3.36092e-11	70854.5	0
0.115214	1	1	2	6.78412e-11	143022	0
0.115214	1	2	1	3.36092e-11	70854.5	0
0.115214	1	3	3	3.36092e-11	70854.5	0
